,Time,EGF,RShGS,Ras,MKKK,MKKKP,MKK,MKKP,MKKPP,MK,MKP,MKPP,RasGDP,Ras_ShcGS,RasGTP
7374,737.4,0.03711144456225765,0.009171506568067249,0.42538663027508955,1.1402524667910734,1.6196866067521603,1.671071343515199,42.12764786263826,1062.6919923166904,0.6602103478091333,25.542050696592433,988.164563657532,1.0478057106952805,0.00026481133658063234,0.5249208784933228
7375,737.5,0.037110712474806073,0.00917145417969242,0.4254411188737569,1.1401658826539605,1.6197730279378744,1.6708955166254265,42.125481985728136,1062.6943330120748,0.6602074822333519,25.541995996385904,988.1646201780876,1.0477694542533682,0.0002648006609995644,0.5249025728472491
7376,737.6,0.037109980748438756,0.009171401783115493,0.4254956042976952,1.1400793167310193,1.619859430931302,1.6707197547311694,42.12331678924572,1062.696672962346,0.6602046175885117,25.541941313827472,988.1646766803975,1.047733201233356,0.00026478998614982996,0.524884266970969
7377,737.7,0.037109249382917854,0.009171349378347122,0.4255500865469202,1.1399927690167755,1.6199458157379218,1.6705440577964847,42.121152272868095,1062.699012167862,0.6602017538741544,25.54188664890852,988.1647331644706,1.0476969516339267,0.00026477931203138205,0.5248659608657793
7378,737.8,0.03710851837800554,0.009171296965397948,0.4256045656214474,1.1399062395057544,1.620032182363213,1.670368425785429,42.11898843627231,1062.7013506289827,0.6601988910898221,25.54183200162042,988.1647896303158,1.0476607054537623,0.000264768638644174,0.5248476545329764
7379,737.9,0.037107787733463966,0.009171244544278616,0.4256590415212928,1.139819728192481,1.6201185308126538,1.670192858662058,42.11682527913541,1062.7036883460664,0.6601960292350564,25.541777371954556,988.1648460779419,1.0476244626915456,0.00026475796598815916,0.5248293479738568
7380,738.0,0.03710705744905531,0.00917119211499977,0.42571351424647186,1.139733235071481,1.620204861091723,1.6700173563904293,42.11466280113445,1062.7060253194716,0.6601931683093993,25.541722759902306,988.164902507358,1.0475882233459592,0.0002647472940632905,0.524811041189717
7381,738.1,0.03710632752454175,0.00917113967757206,0.4257679837970005,1.1396467601372795,1.6202911732058993,1.669841918934599,42.112501001946484,1062.7083615495571,0.6601903083123928,25.541668165455047,988.1649589185728,1.0475519874156858,0.0002647366228695213,0.5247927341818533
7382,738.2,0.03710559795968544,0.009171087232006127,0.4258224501728942,1.139560303384402,1.6203774671606619,1.669666546258624,42.11033988124857,1062.710697036682,0.6601874492435784,25.541613588604157,988.1650153115955,1.0475157548994072,0.0002647259524068049,0.5247744269515625
7383,738.3,0.03710486875424854,0.009171034778312617,0.4258769133741689,1.139473864807374,1.6204637429614888,1.669491238326561,42.10817943871777,1062.713031781205,0.6601845911024984,25.541559029341023,988.1650716864348,1.0474795257958067,0.00026471528267509443,0.5247561195001409
7384,738.4,0.03710413990799324,0.009170982316502178,0.4259313734008401,1.1393874444007204,1.6205500006138591,1.669315995102466,42.10601967403111,1062.7153657834845,0.660181733888694,25.541504487657008,988.1651280430998,1.0474433001035663,0.0002647046136743432,0.5247378118288851
7385,738.5,0.03710341142068168,0.009170929846585452,0.4259858302529237,1.1393010421589667,1.6206362401232517,1.6691408165503963,42.103860586865665,1062.717699043879,0.6601788776017077,25.54144996354351,988.1651843815991,1.0474070778213687,0.0002646939454045043,0.5247195039390915
7386,738.6,0.03710268329207604,0.009170877368573088,0.4260402839304353,1.1392146580766385,1.6207224614951452,1.668965702634408,42.101702176898485,1062.720031562748,0.6601760222410811,25.54139545699189,988.165240701942,1.0473708589478963,0.000264683277865531,0.5247011958320567
7387,738.7,0.037101955521938505,0.009170824882475729,0.4260947344333906,1.1391282921482608,1.6208086647350182,1.668790653318558,42.099544443806614,1062.7223633404503,0.6601731678063559,25.54134096799354,988.1652970041372,1.0473346434818318,0.00026467261105737655,0.5246828875090771
7388,738.8,0.037101228110031206,0.009170772388304022,0.4261491817618052,1.1390419443683593,1.620894849848349,1.668615668566903,42.097387387267126,1062.724694377344,0.6601703142970741,25.54128649653983,988.1653532881936,1.0472984314218579,0.00026466194497999407,0.5246645789714494
7389,738.9,0.03710050105611634,0.009170719886068608,0.42620362591569505,1.138955614731459,1.6209810168406174,1.668440748343499,42.09523100695706,1062.7270246737878,0.6601674617127776,25.54123204262215,988.1654095541203,1.0472622227666566,0.00026465127963333696,0.5246462702204697
7390,739.0,0.03709977435995606,0.009170667375780138,0.4262580668950757,1.1388693032320856,1.621067165717301,1.6682658926124032,42.093075302553466,1062.729354230141,0.6601646100530082,25.54117760623186,988.1654658019258,1.0472260175149106,0.00026464061501735824,0.5246279612574348
