,Time,RasGDP,GAP,RasGTP,Ras_Raf
261,0.261,19999.998065412754,14999.999890873698,0.00016128131230762468,0.0016641796324335357
262,0.262,19999.99807090443,14999.999890921556,0.0001608041419779052,0.0016592129843334138
263,0.263,19999.998076362357,14999.999890967629,0.00016034411657979306,0.0016542611589231342
264,0.264,19999.998081787726,14999.999891012027,0.0001599001899550603,0.0016493241119826382
265,0.265,19999.998087181688,14999.999891054851,0.00015947136320385523,0.001644401799422963
266,0.266,19999.99809254537,14999.999891096208,0.00015905666161931153,0.0016394941772862172
267,0.267,19999.998097879805,14999.999891136189,0.00015865518335208891,0.0016346012017444513
268,0.268,19999.99810318591,14999.999891174879,0.0001582661396613306,0.0016297228290986915
269,0.269,19999.998108464577,14999.999891212354,0.00015788875931156817,0.001624859015779985
270,0.27,19999.998113716687,14999.999891248694,0.00015752229059172164,0.0016200097183489985
271,0.271,19999.998118943047,14999.999891283975,0.00015716603374625056,0.0016151748934951533
272,0.272,19999.99812414435,14999.999891318255,0.0001568194074044155,0.0016103544980352307
273,0.273,19999.998129321295,14999.999891351597,0.00015648181399415613,0.0016055484889150446
274,0.274,19999.99813447457,14999.999891384066,0.00015615267299298245,0.001600756823208556
275,0.275,19999.9981396048,14999.999891415708,0.00015583144697107513,0.0015959794581170976
276,0.276,19999.998144712517,14999.999891446578,0.00015551770351610343,0.0015912163509680967
277,0.277,19999.99814979828,14999.999891476718,0.00015521098032558983,0.0015864674592166801
278,0.278,19999.9981548626,14999.999891506179,0.00015491083933384715,0.0015817327404445008
279,0.279,19999.998159905972,14999.999891534997,0.0001546168759375754,0.0015770121523592303
280,0.28,19999.998164928806,14999.999891563213,0.0001543287557678052,0.0015723056527937626
281,0.281,19999.998169931532,14999.999891590862,0.00015404612565410273,0.0015676131997069346
282,0.282,19999.99817491457,14999.999891617974,0.0001537686584000957,0.001562934751182608
283,0.283,19999.99817987827,14999.999891644587,0.00015349604934187483,0.0015582702654293472
284,0.284,19999.998184822984,14999.999891670725,0.00015322803827840024,0.001553619700779921
285,0.285,19999.998189749043,14999.999891696414,0.00015296435547066008,0.001548983015691335
286,0.286,19999.99819465676,14999.999891721685,0.00015270475245377863,0.001544360168744253
287,0.287,19999.99819954644,14999.999891746558,0.00015244899510649952,0.0015397511186426883
288,0.288,19999.99820441834,14999.999891771058,0.00015219688964712168,0.00153515582421348
289,0.289,19999.99820927273,14999.9998917952,0.00015194822468219364,0.001530574244406317
290,0.29,19999.998214109866,14999.99989181901,0.00015170280898639201,0.0015260063382931328
291,0.291,19999.99821892998,14999.999891842506,0.00015146046161306195,0.0015214520650678148
292,0.292,19999.998223733273,14999.999891865698,0.00015122104052938206,0.0015169113840456283
293,0.293,19999.998228519977,14999.999891888612,0.00015098437985742685,0.0015123842546633367
294,0.294,19999.998233290287,14999.999891911255,0.00015075033305658638,0.0015078706364785152
295,0.295,19999.998238044398,14999.999891933647,0.00015051876234709567,0.0015033704891692788
296,0.296,19999.99824278246,14999.999891955797,0.00015028955915557304,0.0014988837725338267
297,0.297,19999.99824750467,14999.999891977715,0.00015006259710689948,0.0014944104464903179
298,0.298,19999.998252211186,14999.999891999418,0.00014983776508301782,0.0014899504710763562
299,0.299,19999.998256902156,14999.999892020916,0.00014961495934010124,0.0014855038064486878
300,0.3,19999.99826157771,14999.999892042215,0.00014939409345388676,0.0014810704128829025
301,0.301,19999.998266238006,14999.999892063328,0.00014917507308110582,0.0014766502507729646
302,0.302,19999.998270883167,14999.999892084263,0.00014895781378813398,0.001472243280630953
303,0.303,19999.998275513324,14999.999892105025,0.00014874223754316916,0.0014678494630867294
304,0.304,19999.99828012858,14999.999892125625,0.00014852828035217183,0.001463468758887769
305,0.305,19999.998284729063,14999.999892146068,0.00014831587117151605,0.00145910112889836
306,0.306,19999.998289314874,14999.999892166357,0.00014810494731887073,0.0014547465340996083
307,0.307,19999.99829388612,14999.999892186506,0.00014789544993877002,0.0014504049355889995
308,0.308,19999.998298442897,14999.999892206515,0.00014768732355555707,0.0014460762945800543
